company,industry
TransPerfect,Consulting
Essity,Consumer Products Manufacturing
Glovo,Internet
Essity,Consumer Products Manufacturing
Preply,Education Training Services
Amazon,Internet
TELUS International,unknown
Tech Data,Enterprise Software & Network Solutions
Glovo,Internet
Gartner,Consulting
Agoda,Internet
eDreams ODIGEO,unknown
Glovo,Internet
Glovo,Internet
TDCX,Staffing & Outsourcing
Wallbox Chargers,Enterprise Software & Network Solutions
Hays,Staffing & Outsourcing
MA (Montreal Associates),Social Services
Pierre Fabre Group,Biotech & Pharmaceuticals
MANGO,Consumer Products Manufacturing
Ingram Micro,Computer Hardware & Software
Modis,unknown
Dow Jones,News Outlets
King,Video Games
Preply,Education Training Services
Glovo,Internet
Glovo,Internet
Glovo,Internet
Amazon,Internet
eDreams ODIGEO,unknown
Glovo,Internet
MANGO,Consumer Products Manufacturing
Media Markt Iberia,Consumer Electronics & Appliance Shops
Agoda,Internet
Pierre Fabre Group,Biotech & Pharmaceuticals
Domestika,Education Training Services
Meta,Internet
Back Market,Internet
Softonic,Internet
Boehringer Ingelheim,Biotech & Pharmaceuticals
Kraz (Viko Group),unknown
Ocado Technology,Enterprise Software & Network Solutions
Newrest,unknown
ID Finance,unknown
NTT DATA Business Solutions Spain,IT Services
Glovo,Internet
Microsoft,Computer Hardware & Software
PayFit España,unknown
"Alexion Pharmaceuticals, Inc.",Biotech & Pharmaceuticals
Lingokids,Education Training Services
Holded,Enterprise Software & Network Solutions
Weekendesk,Travel Agencies
Socium - Teams Done Differently,unknown
eDreams ODIGEO,unknown
Smadex,unknown
Glovo,Internet
atSistemas,IT Services
TSD Consulting,unknown
TOUS Jewelry,Beauty & Personal Accessories Shops
Voodoo,Internet
Siemens Energy,Energy
Zurich Insurance,IT Services
Adevinta Spain,Internet
Amazon,Internet
King,Video Games
OnFrontiers,Enterprise Software & Network Solutions
Unknown,Computer Hardware & Software
ZF Group,Transportation Equipment Manufacturing
eDreams ODIGEO,unknown
Touchpoint Resource Ltd,unknown
Softonic,Internet
PPG,Chemical Manufacturing
Cofidis España,Banks & Building Societies
Vertex Professional Services (VPS),unknown
FREE NOW,IT Services
Glovo,Internet
SETESCA,unknown
Zurich Insurance,IT Services
Accenture España,Consulting
Applus+ Laboratories,Architectural & Engineering Services
eDreams ODIGEO,unknown
OnFrontiers,Enterprise Software & Network Solutions
Product Madness ,Video Games
eDreams ODIGEO,unknown
Homelike,Real Estate
CaixaBank Tech,Banks & Building Societies
Novartis España,Biotech & Pharmaceuticals
Touchpoint Resource Ltd,unknown
Criteo,Internet
Roche,Biotech & Pharmaceuticals
Hays,Staffing & Outsourcing
Hosco,Internet
Festo España,Industrial Manufacturing
NEW WORK SE,News Outlets
FREE NOW,IT Services
Siemens Energy,Energy
Michael Page,unknown
CloudBlue,Computer Hardware & Software
Accenture España,Consulting
Scopely,Video Games
Leonid Group Ltd,Internet
GfK,Consulting
HP,Computer Hardware & Software
Caixabank Business Intelligence,Banks & Building Societies
Glovo,Internet
INGEFOR,unknown
CaixaBank Tech,Banks & Building Societies
Gauss & Neumann,unknown
Autodesk,Computer Hardware & Software
Autodesk,Computer Hardware & Software
BLING,Enterprise Software & Network Solutions
Grifols,Biotech & Pharmaceuticals
Randstad España,Staffing & Outsourcing
Accenture España,Consulting
Scopely,Video Games
Leadtech Group,Research & Development
Brainly,IT Services
MENU Technologies,unknown
Leadtech Group,Research & Development
Ankorstore,Internet
Meta,Internet
Wallbox Chargers,Enterprise Software & Network Solutions
Wetaca,unknown
Unknown,Computer Hardware & Software
Domestika,Education Training Services
Adevinta,Internet
Genially,unknown
Domestika,Education Training Services
Jobandtalent,Staffing & Outsourcing
Domestika,Education Training Services
Wallbox Chargers,Enterprise Software & Network Solutions
ALOHAS,unknown
Wallbox Chargers,Enterprise Software & Network Solutions
"Fundación ""la Caixa""",Banks & Building Societies
Jobandtalent,Staffing & Outsourcing
HP,Computer Hardware & Software
Glovo,Internet
Veeva Systems,Enterprise Software & Network Solutions
Glovo,Internet
Glovo,Internet
Glovo,Internet
HP,Computer Hardware & Software
HP,Computer Hardware & Software
Glovo,Internet
Schneider Electric,Energy
Agilent Technologies,Biotech & Pharmaceuticals
Brainnest,Consulting
BrandBastion,Enterprise Software & Network Solutions
Clarity AI,unknown
Grupo Planeta,Publishing
Smadex,unknown
Gartner,Consulting
AILY LABS,unknown
Glovo,Internet
Amazon,Internet
Zurich Insurance,IT Services
eDreams ODIGEO,unknown
ManoMano,Internet
PayFit España,unknown
Toptal,Internet
Meta,Internet
King,Video Games
Sysdig,Enterprise Software & Network Solutions
IQVIA,Biotech & Pharmaceuticals
Glovo,Internet
ManoMano,Internet
Zurich Insurance,IT Services
MANGO,Consumer Products Manufacturing
International Flavors & Fragrances,Research & Development
Fluendo,Computer Hardware & Software
Accenture España,Consulting
HP,Computer Hardware & Software
M Digital Partner,unknown
IT at Nestlé North America,unknown
Accenture España,Consulting
Zurich Insurance,IT Services
Centre for Genomic Regulation (CRG),Biotech & Pharmaceuticals
HP,Computer Hardware & Software
Ocado Technology,Enterprise Software & Network Solutions
Socialpoint,Video Games
YourCode (YCG),unknown
Mediktor,unknown
TMC,Healthcare Services & Hospitals
Affirm,Lending
Locaria - a Stagwell company,unknown
Revolut,Financial Transaction Processing
Meta,Internet
Shotl - On-demand Shuttles,unknown
Savana,unknown
Koa Health,Healthcare Services & Hospitals
Revolut,Financial Transaction Processing
Oracle,Enterprise Software & Network Solutions
Adevinta,Internet
Grupo DISA,unknown
QUANT AI Lab,unknown
Oxford Global Resources,Staffing & Outsourcing
The Knot Worldwide,Internet
Unknown,Computer Hardware & Software
Grupo DISA,unknown
DerbySoft,IT Services
Wallbox Chargers,Enterprise Software & Network Solutions
Keepler Data Tech,Consulting
Scopely,Video Games
Babel,Computer Hardware & Software
ClearPeaks,Enterprise Software & Network Solutions
Babel,Computer Hardware & Software
Accenture España,Consulting
"Solera, Inc.",Computer Hardware & Software
Premier Research,Biotech & Pharmaceuticals
Zurich Insurance,IT Services
