company,modality,position,seniority,ab,agile,ai,algorithm,analytical skill,attention detail,automation,aws,azure,bachelor,big data,business intelligence,communication,computer science,creativity,curiosity,dashboard,data mining,decision making,deep learning,economics,engineering,etl,excel,kpi,leadership,looker,machine learning,master,mathematics,modeling,motivation,natural language,optimization,ph,power bi,prediction,presentation,proactive,problem solving,programming,python,qlik,quantitative,r,reporting,research,segmentation,sql,statistic,storytelling,tableau,team work,visualization
TransPerfect,On-site,data analyst,unknown,0.0,0.0,0.04206621364148043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Essity,On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022340510149453874,0.018157866010631962,0.0,0.0,0.0,0.016284812522655043,0.0,0.022340510149453874,0.013947713360387748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013682233018354405,0.016946826552736802,0.0,0.0,0.0,0.0,0.017525986041070262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glovo,On-site,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.03823140467278825,0.020851057531487634,0.0,0.0,0.0,0.0,0.0,0.023448361155979446,0.016189215942720245,0.0180512740626365,0.022209364865385342,0.013865836231418101,0.0,0.0,0.0,0.032889980415965095,0.02255706924961463,0.0,0.0,0.0,0.0,0.019510387795080124,0.0,0.0,0.01360191433610946,0.0,0.0,0.0,0.04029647250954459,0.0,0.017423103412045178,0.0,0.0,0.01757487030508751,0.0,0.013688772282149174,0.018801601733375157,0.0,0.0,0.0,0.0,0.0,0.0,0.019574403684960922,0.011529657414202827,0.0,0.01360191433610946,0.0,0.012943786520686703
Essity,On-site,data analyst,unknown,0.0,0.017084067497554912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014322860077182012,0.0,0.019648982785545974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017443528056646534,0.0,0.0,0.014549147688988396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Preply,Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0241190322395975,0.0,0.0,0.0,0.0,0.02233670645670771,0.0,0.0,0.04176088051409999,0.02569022633026112,0.016039021070730897,0.0,0.0,0.0,0.01902240442276013,0.0,0.0,0.0,0.0,0.022806686161034137,0.02256824007731822,0.0,0.0,0.015733734842822693,0.03897563724435631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020329370002218194,0.026416849819295252,0.0,0.0,0.0,0.0187265427984466,0.0,0.0,0.0,0.0,0.01132114457109709,0.013336694240315217,0.0,0.015733734842822693,0.02569022633026112,0.0
Amazon,Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.026880141876194842,0.0,0.026880141876194842,0.0,0.0,0.0,0.0,0.0746813345542309,0.0,0.0,0.0,0.0,0.03575028696455855,0.0,0.0,0.0,0.0,0.0,0.030331926017191695,0.0,0.0,0.0,0.0,0.016891129539686855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01764688148308232,0.01211904291496091,0.0,0.0,0.0,0.018350015010198277,0.0,0.0,0.012617171752537995,0.0,0.0,0.03506981711506364,0.0,0.016686483050838988
TELUS International,On-site,data analyst,unknown,0.0,0.0,0.22502919969251084,0.0,0.0,0.02180898848596865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02989719762334918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tech Data,Unknown,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.016540595396051204,0.0,0.0,0.0,0.0,0.0,0.01860096803223717,0.0,0.0,0.0,0.021998806207833732,0.0,0.030027803750540046,0.0,0.02609075620375563,0.0,0.0,0.0,0.0,0.0,0.0,0.010393893781701993,0.0,0.0,0.013364554588217597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01394168225834766,0.054349248364349345,0.0,0.0,0.0,0.0,0.0,0.022583227067261485,0.0,0.0,0.0,0.018292347815492768,0.0,0.021580081615101023,0.0,0.010267965325414607
Glovo,On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026128754719973692,0.0,0.0,0.0,0.0,0.0,0.0,0.025609546502133086,0.0,0.0,0.0,0.0,0.0,0.023780637643650307,0.0,0.02639959523955006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023780637643650307,0.0,0.01852234057932143,0.012720266783766625,0.03135743735797396,0.0,0.0,0.0,0.0,0.0,0.013243107716926938,0.0,0.0,0.018404812694029195,0.0,0.0
Gartner,Unknown,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025140075798556837,0.0076318836464096835,0.0,0.011750520422222684,0.0,0.009025999563416775,0.0,0.0,0.0,0.021409812139756245,0.0,0.0,0.011541417524484784,0.0,0.0,0.0,0.0,0.0,0.008854198968625797,0.0,0.0,0.0,0.0,0.0,0.011341611220977299,0.01738156682915101,0.0,0.0,0.014866148868082999,0.0,0.006119474015294359,0.0,0.021076818389064198,0.0,0.009265784503209015,0.0,0.0,0.006371002663159666,0.007505258323413538,0.0,0.008854198968625797,0.0,0.008425789078624471
Agoda,Unknown,data analyst,unknown,0.0,0.0,0.0187977690476214,0.0,0.03576953459838532,0.0,0.0,0.0,0.0,0.015483283549367888,0.0,0.016563135421027914,0.0,0.013886123495400188,0.030966567098735777,0.01904984060786594,0.011893269875311422,0.020181420211707397,0.0,0.0,0.0,0.009674040126547701,0.0,0.015207755373564934,0.0,0.016911635210062642,0.0,0.011238553822714535,0.0,0.011666893746636467,0.014450625454794199,0.0,0.0,0.01728193001058063,0.0,0.014944477021543461,0.0,0.0,0.0,0.0,0.02348279040601827,0.01612686892958379,0.0,0.013886123495400188,0.023786539750622844,0.0,0.013994801547971855,0.0,0.025184597068804535,0.01977887592329875,0.0,0.023333787493272935,0.0,0.011102391787242457
eDreams ODIGEO,Unknown,data analyst,senior,0.023037453313429303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017674446008523664,0.0,0.0,0.0,0.015851259146976115,0.0,0.0,0.027152761958502598,0.0,0.018531410288179753,0.0,0.016101694015233172,0.011043090398479415,0.0,0.0,0.0,0.0,0.01910310011874793,0.0,0.0,0.013317968566204232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026806026631062498,0.009204555134369519,0.0,0.015851259146976115,0.0407291429377539,0.027874102940813467,0.03195063418827981,0.0,0.01916577964959211,0.01128897089241462,0.0,0.013317968566204232,0.0,0.025347158899909766
Glovo,On-site,data analyst,unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026128754719973692,0.0,0.0,0.0,0.0,0.0,0.0,0.025609546502133086,0.0,0.0,0.0,0.0,0.0,0.023780637643650307,0.0,0.02639959523955006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023780637643650307,0.0,0.01852234057932143,0.012720266783766625,0.03135743735797396,0.0,0.0,0.0,0.0,0.0,0.013243107716926938,0.0,0.0,0.018404812694029195,0.0,0.0
Glovo,On-site,data analyst,junior,0.0,0.0,0.0,0.0,0.0,0.02432336843349129,0.0,0.0,0.0,0.022968959339960925,0.0,0.0,0.014918183949552962,0.0,0.0,0.0,0.017643288086419028,0.0,0.0,0.0,0.0,0.0,0.0,0.022560222042936482,0.0,0.0,0.0248255775418997,0.0,0.0,0.0,0.021437043857646262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029059135818957648,0.0,0.0,0.029487819248054225,0.0,0.0,0.018112000137845013,0.0,0.0,0.012453516598987954,0.0,0.0,0.01730746629006078,0.0,0.032940091127879524
TDCX,On-site,data analyst,senior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013184859076635583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019764467693183404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020487352263484703,0.019764467693183404,0.0,0.0,0.0,0.0,0.0,0.0,0.016007589812608976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014556411858215493
